DateTime,AddedIPs,RemovedIPs
1551348053,0,2
1551361728,0,1
1551383054,1,0
1551408969,1,0
1551462260,1,0
1551470501,0,1
1551495724,0,1
1551517460,1,0
1551521565,1,0
1551548680,0,1
1551592099,1,0
1551599782,1,0
1551603696,0,1
1551607501,0,1
1551678730,0,1
1551684845,0,1
1551719798,1,0
1551723632,1,0
1551778812,1,0
1551786504,1,0
1551807845,0,1
1551811696,0,1
1551813632,1,0
1551838570,1,0
1551854445,1,0
1551860172,1,0
1551864011,0,1
1551867855,1,0
1551871214,1,0
1551873131,0,1
1551875064,1,0
1551900011,0,1
1551924497,0,1
1551939856,0,1
1551947560,0,1
1551955227,0,1
1551957136,0,1
1551959065,1,0
1551961015,1,1
1552026733,1,0
1552046169,0,1
1552048361,0,1
1552080967,1,0
1552111696,0,1
1552165487,0,1
1552168114,1,0
1552170017,1,0
1552184461,1,0
1552201723,1,0
1552223779,1,0
1552225702,1,0
1552229533,1,0
1552243960,1,0
1552254494,0,1
1552256421,0,1
1552270596,0,1
1552288841,0,1
1552296491,2,0
1552309933,0,1
1552311884,0,1
1552315937,0,1
1552321719,1,0
1552330351,0,1
1552342027,1,0
1552345940,1,0
1552347855,1,0
1552349810,1,0
1552353886,1,0
1552371139,1,0
1552382663,0,2
1552399002,1,0
1552402888,1,0
1552408588,0,1
1552427916,0,1
1552429934,1,0
1552431907,0,1
1552435755,2,1
1552437616,0,1
1552439576,0,1
1552457794,0,1
1552459692,1,0
1552479135,1,0
1552481061,1,0
1552486837,0,1
1552488729,0,1
1552496470,1,0
1552500296,1,0
1552514898,0,1
1552520905,0,1
1552522827,0,1
1552546101,0,1
1552549962,1,0
1552555955,1,0
1552563623,1,0
1552565540,0,1
1552567466,0,1
1552582887,0,1
1552586691,0,1
1552636603,0,1
1552642365,0,1
1552648133,1,0
1552650036,0,1
1552671164,1,0
1552673090,1,0
1552690509,2,0
1552733077,1,0
1552735219,0,1
1552757289,0,1
1552759284,0,1
1552761160,95,0
1552763078,45,0
1552764968,39,0
1552766920,54,0
1552768810,42,0
1552770732,13,0
1552774572,1,0
1552776492,0,2
1552819456,0,1
1552825247,1,0
1552846344,0,23
1552848277,0,89
1552850177,0,38
1552852101,0,49
1552854032,1,41
1552855932,0,45
1552857868,1,1
1552859809,0,1
1552868205,0,1
1552885464,1,0
1552893143,0,1
1552898903,1,0
1552911386,0,1
1552919085,1,0
1552927708,1,0
1552929637,1,0
1552940171,0,1
1552944503,0,1
1552959880,1,0
1552971380,1,1
1552982918,1,0
1552984823,0,1
1553005966,0,1
1553013854,0,1
1553015786,0,1
1553021550,1,0
1553027294,1,0
1553058088,0,1
1553061891,1,0
1553069546,0,1
1553106258,0,1
1553115895,0,1
1553117801,0,1
1553143702,1,0
1553147539,0,1
1553149472,1,0
1553175379,1,0
1553179231,17,0
1553188811,1,0
1553190760,1,0
1553230112,0,1
1553235858,0,1
1553258900,1,0
1553260812,0,1
1553264958,1,17
1553274520,0,1
1553276420,1,0
1553278333,0,1
1553287943,1,0
1553333052,1,0
1553346507,0,1
1553352259,0,1
1553356103,1,0
1553363768,0,1
1553373367,0,1
1553386833,1,0
1553418985,0,1
1553442046,0,1
1553455692,1,0
1553470473,1,0
1553472326,0,1
1553540712,1,0
1553542770,0,1
1553556492,0,1
1553565284,1,0
1553588423,1,0
1553599954,1,0
1553621057,1,0
1553626354,1,0
1553628257,0,1
1553651571,0,1
1553664981,1,0
1553674572,0,1
1553688097,0,1
1553707353,0,1
1553714184,0,1
1553747773,0,1
1553782591,1,0
1553790489,1,0
1553827948,1,0
1553850979,1,0
1553858655,1,0
1553860600,1,0
1553870183,0,1
1553874018,1,0
1553875935,0,1
1553887691,1,0
1553899217,1,0
1553901134,1,0
1553904974,1,0
1553914729,0,1
1553934039,1,0
1553937864,0,1
1553946506,0,1
1553952257,0,1
1553959977,1,0
1553973383,0,1
1553982996,1,0
1553986947,0,2
1553990788,0,1
1554008184,1,0
1554019719,0,1
1554037000,3,0
1554038906,0,1
1554046823,0,1
1554067731,1,0
1554069652,0,1
1554085456,2,0
1554095067,0,1
1554120512,1,0
1554122429,0,2
1554124356,0,1
1554153883,0,1
1554169452,1,0
1554171388,0,2
1554180975,1,0
1554186999,1,0
1554188925,1,0
1554208122,0,1
1554220795,2,0
1554254905,0,1
1554268336,0,1
1554274098,0,1
1554276011,0,1
1554277966,1,0
1554279851,1,0
1554308194,0,2
1554335086,1,0
1554342736,1,0
1554360289,1,0
1554366049,0,1
1554367976,0,1
1554394835,1,0
1554402799,1,0
1554420257,0,1
1554422171,1,0
1554430108,0,1
1554432017,1,0
1554447748,0,1
1554451504,2,0
1554455298,1,0
1554480502,0,1
1554488909,0,1
1554490899,1,0
1554504770,1,0
1554508577,0,1
1554517459,0,1
1554538838,0,1
1554540754,0,1
1554554181,1,0
1554565699,1,0
1554577257,1,1
1554590683,0,1
1554592575,1,0
1554598342,1,0
1554604100,1,0
1554606099,1,0
1554631016,1,0
1554638920,1,0
1554640835,0,1
1554646576,1,0
1554648504,1,0
1554652348,0,1
1554662900,0,1
1554680173,0,1
1554685948,0,1
1554687883,1,0
1554691697,0,2
1554710904,1,0
1554716665,0,1
1554724606,0,1
1554731340,1,1
1554735163,0,1
1554738993,1,0
1554770429,1,0
1554774286,0,1
1554793479,2,0
1554795373,1,0
1554797320,0,1
1554825145,0,1
1554855641,0,1
1554865273,1,0
1554867169,1,0
1554879143,0,1
1554881057,0,2
1554883006,0,1
1554889706,1,0
1554918011,1,0
1554932414,1,0
1554952571,0,1
1554954518,0,1
1554966254,1,0
1554972027,1,0
1554975855,0,1
1554977771,1,0
1554996541,1,0
1555019530,0,1
1555050292,1,0
1555052203,0,1
1555057969,0,1
1555063752,0,1
1555067555,0,1
1555080987,0,1
1555125643,1,0
1555135277,0,1
1555162354,2,0
1555187317,1,0
1555203136,1,0
1555210875,0,1
1555220435,0,1
1555222346,1,0
1555234091,1,0
1555248488,0,1
1555250448,0,1
1555256186,1,0
1555260034,1,0
1555263872,1,0
1555273465,0,1
1555281161,1,0
1555283097,1,0
1555286916,2,0
1555291058,0,1
1555298661,1,0
1555308276,2,1
1555322073,0,1
1555323875,1,0
1555341404,2,0
1555343295,0,1
1555345237,0,1
1555350997,0,1
1555352905,1,0
1555356737,2,0
1555362493,1,0
1555364678,1,0
1555369328,0,2
1555373085,0,2
1555374980,1,0
1555386490,0,1
1555394210,0,2
1555399950,1,0
1555409805,0,1
1555427075,0,1
1555428995,0,1
1555438589,0,1
1555442654,0,1
1555444596,0,1
1555446679,1,0
1555448688,0,1
1555450852,0,1
1555462362,1,1
1555472175,1,0
1555486274,0,1
1555488303,1,0
1555524986,1,0
1555532655,0,1
1555549937,0,1
1555559779,0,1
1555573233,1,0
1555575141,0,1
1555584733,1,0
1555594367,2,0
1555602265,1,0
1555612131,0,1
1555647378,1,0
1555649300,1,0
1555658903,0,1
1555670663,0,1
1555678350,1,0
1555680254,1,1
1555682357,0,1
1555688179,0,1
1555701608,1,0
1555707373,1,0
1555734271,0,1
1555736188,0,1
1555762100,1,0
1555764024,0,1
1555765968,1,0
1555767853,0,1
1555779371,1,0
1555788031,0,1
1555793791,0,1
1555842523,1,0
1555848301,0,1
1555852352,0,1
1555867007,0,1
1555926493,0,1
1555949776,1,0
1556014353,1,0
1556035701,0,1
1556066898,1,0
1556078531,1,0
1556099771,0,1
1556152116,0,1
1556163620,0,1
1556248113,1,0
1556251934,1,0
1556271164,1,0
1556334999,0,1
1556338834,0,1
1556356094,0,1
1556412967,1,0
1556420926,1,0
1556424755,1,0
1556475851,1,0
1556495301,1,0
1556501061,0,1
1556507082,0,1
1556510908,0,1
1556551217,1,0
1556561792,0,1
1556576171,1,0
1556580501,1,0
1556582523,0,1
1556603775,1,0
1556613386,1,0
1556638582,0,1
1556650095,1,0
1556653932,1,0
1556655907,1,0
1556661683,0,1
1556668070,0,1
1556673857,1,0
