DateTime,AddedIPs,RemovedIPs
1525140264,157153,1344
1527232111,0,0
1527320464,0,0
1527843386,56346,2623
1527931297,0,0
1528279714,0,0
1530458411,39108,7727
1533162751,80677,4287
1535777784,130519,4320
1538394026,166709,5586
1541098348,51580,10319
1543626984,43715,6413
1546373570,47103,6367
1548988116,47338,7588
1551427946,32765,10685
1554128914,43011,6101
1554825867,7422,1219
1555523309,15625,1994
1555610455,2405,392
1555697553,1844,344
1555784670,1881,368
1555871790,1928,393
1555958916,1324,332
1556046029,2511,365
1556133149,1652,434
1556220273,2800,326
1556786669,14079,2696
1556873809,1666,308
1556960930,1209,342
1557048054,1443,345
1557135153,1492,320
1557222287,1940,329
1557309393,1423,151
